model,precision,recall,f1,pr_auc,roc_auc
Logistic Regression - TF-IDF + Structured,0.6841635023453205,0.754898336414048,0.7177924893081024,0.8044759837135088,0.8936124379079154
Logistic Regression - TF-IDF,0.610552268244576,0.7629081947011707,0.6782799233086826,0.7231779136324895,0.8627249224207578
Logistic Regression - Embeddings + Structured,0.5908067158067158,0.7111521873074553,0.6454174355533188,0.7127524168409896,0.8273401885650574
Isolation Forest - Embeddings,0.298646422688534,0.10277517622122541,0.15292370317399198,,
